name,number,position,height,weight,DOB,draft_year,draft_number,college,country
Alex Abrines,8,Shooting Guard,6-6,190 lbs,8-1-1993,2008,32nd,n/a,Spain
Steven Adams,12,Center,7-0,250 lbs,7-20-1993,2013,12th,Pittsburgh,New Zealand
Semaj Christon,6,Point Guard,6-3,190 lbs,11-1-1992,2014,55th,Xavier,USA
Nick Collison,4,Power Forward,6-10,255 lbs,10-26-1980,2003,12th,Kansas,USA
Josh Huestis,34,Small Forward,6-7,230 lbs,12-19-1991,2014,29th,Stanford,USA
Ersan Ilyasova,7,Power Forward,6-10,235 lbs,5-15-1987,2005,36th,n/a,Turkey
Enes Kanter,11,Center,6-11,245 lbs,5-20-1992,2011,3rd,Kentucky,Turkey
Joffrey Lauvergne,77,Center,6-11,220 lbs,9-30-1991,2013,55th,n/a,France
Anthony Morrow,2,Shooting Guard,6-5,210 lbs,9-27-1985,(2008),undrafted,Georgia Tech,USA
Victor Oladipo,5,Shooting Guard,6-4,210 lbs,5-4-1992,2013,2nd,Indiana,USA
Cameron Payne,22,Point Guard,6-3,185 lbs,8-8-1994,2015,14th,Murray State,USA
Andre Roberson,21,Shooting Guard,6-7,210 lbs,10-4-1991,2013,26th,Colorado,USA
Domantas Sabonis,3,Power Forward,6-11,240 lbs,5-3-1996,2016,11th,Gonzaga,Lithuania
Kyle Singler,5,Small Forward,6-8,228 lbs,5-4-1988,2011,33rd,Duke,USA
Russell Westbrook,0,Point Guard,6-3,200 lbs,11-12-1988,2008,4th,UCLA,USA
